"","game_id","temp","home_team","away_team","total","season","season_type","total_line","Home_Off_EPA","Away_Off_EPA","Home_Def_EPA","Away_Def_EPA"
"107","1999_09_DAL_MIN",70,"MIN","DAL",44,1999,"REG",47.5,0.0101292350753879,-0.0167078154131911,-0.0179583103388012,-0.103409599510719
"108","1999_09_DEN_SD",69,"LAC","DEN",50,1999,"REG",35.5,-0.151411790688339,-0.0476760724568105,-0.0476406207813872,-0.0718048381223878
"109","1999_09_JAX_ATL",70,"ATL","JAX",37,1999,"REG",41,-0.116601109884423,0.0509792097802891,0.0035041812073711,-0.141786930850859
"110","1999_09_KC_IND",70,"IND","KC",42,1999,"REG",45,0.0532506536760625,-0.00875096830323809,-0.0346917887928632,-0.15516087519915
"111","1999_09_PHI_CAR",74,"CAR","PHI",40,1999,"REG",36,0.0115559488463279,-0.196024497010181,0.0501524852186217,-0.118400876980923
"112","1999_09_TB_NO",70,"NO","TB",47,1999,"REG",33.5,-0.134665779881997,-0.153246261216447,-0.00342001791679179,-0.160538956522843
"113","1999_09_TEN_MIA",74,"MIA","TEN",17,1999,"REG",37,-0.124326538966527,0.0089118740477988,-0.119362696357513,-0.0391387146349858
"114","1999_10_BAL_JAX",77,"JAX","BAL",9,1999,"REG",37,0.0509792097802891,-0.138212952029977,-0.141786930850859,-0.172476890740374
"115","1999_10_CLE_PIT",58,"PIT","CLE",31,1999,"REG",34.5,-0.0716650613963292,-0.128421866084313,-0.0592910040589442,0.0958401521270922
"116","1999_10_DEN_SEA",70,"SEA","DEN",37,1999,"REG",41,-0.088355051425911,-0.0476760724568105,-0.0750516760766315,-0.0718048381223878
"117","1999_10_DET_ARI",89,"ARI","DET",42,1999,"REG",35.5,-0.196485699961533,-0.066410792902094,-0.00356396013036691,-0.0706411806641206
"118","1999_10_GB_DAL",86,"DAL","GB",40,1999,"REG",38,-0.0167078154131911,-0.0359459460353718,-0.103409599510719,-0.0371942989071864
"119","1999_10_IND_NYG",56,"NYG","IND",46,1999,"REG",41.5,-0.0944093281821133,0.0532506536760625,-0.0585346439234138,-0.0346917887928632
"120","1999_10_KC_TB",76,"TB","KC",27,1999,"REG",34.5,-0.153246261216447,-0.00875096830323809,-0.160538956522843,-0.15516087519915
"121","1999_10_MIA_BUF",46,"BUF","MIA",26,1999,"REG",37,-0.0200859727965251,-0.124326538966527,-0.164175830394738,-0.119362696357513
"122","1999_10_MIN_CHI",50,"CHI","MIN",51,1999,"REG",43,-0.0816906338478077,0.0101292350753879,-0.0117423473227055,-0.0179583103388012
"123","1999_10_NYJ_NE",42,"NE","NYJ",41,1999,"REG",37,-0.118039304503421,-0.0361453822069057,-0.0991727880793192,-0.0435381647914199
"124","1999_10_SD_OAK",67,"LV","LAC",37,1999,"REG",36,0.0409182483943874,-0.151411790688339,-0.0696037966147988,-0.0476406207813872
"125","1999_10_TEN_CIN",63,"CIN","TEN",38,1999,"REG",41,-0.0765610322310608,0.0089118740477988,0.0406865938569526,-0.0391387146349858
"126","1999_10_WAS_PHI",60,"PHI","WAS",63,1999,"REG",42,-0.196024497010181,0.0763603862294098,-0.118400876980923,-0.0021484395923787
"127","1999_11_ATL_TB",77,"TB","ATL",29,1999,"REG",34.5,-0.153246261216447,-0.116601109884423,-0.160538956522843,0.0035041812073711
"128","1999_11_BAL_CIN",66,"CIN","BAL",65,1999,"REG",34.5,-0.0765610322310608,-0.138212952029977,0.0406865938569526,-0.172476890740374
"129","1999_11_BUF_NYJ",60,"NYJ","BUF",24,1999,"REG",36,-0.0361453822069057,-0.0200859727965251,-0.0435381647914199,-0.164175830394738
"130","1999_11_CAR_CLE",48,"CLE","CAR",48,1999,"REG",35.5,-0.128421866084313,0.0115559488463279,0.0958401521270922,0.0501524852186217
"131","1999_11_CHI_SD",64,"LAC","CHI",43,1999,"REG",36,-0.151411790688339,-0.0816906338478077,-0.0476406207813872,-0.0117423473227055
"132","1999_11_DAL_ARI",70,"ARI","DAL",22,1999,"REG",35,-0.196485699961533,-0.0167078154131911,-0.00356396013036691,-0.103409599510719
"133","1999_11_DET_GB",46,"GB","DET",43,1999,"REG",39,-0.0359459460353718,-0.066410792902094,-0.0371942989071864,-0.0706411806641206
"134","1999_11_IND_PHI",70,"PHI","IND",61,1999,"REG",41,-0.196024497010181,0.0532506536760625,-0.118400876980923,-0.0346917887928632
"135","1999_11_NE_MIA",74,"MIA","NE",44,1999,"REG",37.5,-0.124326538966527,-0.118039304503421,-0.119362696357513,-0.0991727880793192
"136","1999_11_NO_JAX",62,"JAX","NO",64,1999,"REG",35,0.0509792097802891,-0.134665779881997,-0.141786930850859,-0.00342001791679179
"137","1999_11_NYG_WAS",58,"WAS","NYG",36,1999,"REG",44.5,0.0763603862294098,-0.0944093281821133,-0.0021484395923787,-0.0585346439234138
"138","1999_11_OAK_DEN",26,"DEN","LV",48,1999,"REG",37,-0.0476760724568105,0.0409182483943874,-0.0718048381223878,-0.0696037966147988
"139","1999_11_PIT_TEN",62,"TEN","PIT",26,1999,"REG",36.5,0.0089118740477988,-0.0716650613963292,-0.0391387146349858,-0.0592910040589442
"140","1999_11_SEA_KC",60,"KC","SEA",50,1999,"REG",37.5,-0.00875096830323809,-0.088355051425911,-0.15516087519915,-0.0750516760766315
"141","1999_12_ARI_NYG",48,"NYG","ARI",58,1999,"REG",34.5,-0.0944093281821133,-0.196485699961533,-0.0585346439234138,-0.00356396013036691
"142","1999_12_ATL_CAR",65,"CAR","ATL",62,1999,"REG",40,0.0115559488463279,-0.116601109884423,0.0501524852186217,0.0035041812073711
"143","1999_12_CHI_DET",70,"DET","CHI",38,1999,"REG",44,-0.066410792902094,-0.0816906338478077,-0.0706411806641206,-0.0117423473227055
"144","1999_12_CIN_PIT",46,"PIT","CIN",47,1999,"REG",36,-0.0716650613963292,-0.0765610322310608,-0.0592910040589442,0.0406865938569526
"145","1999_12_JAX_BAL",54,"BAL","JAX",53,1999,"REG",36.5,-0.138212952029977,0.0509792097802891,-0.172476890740374,-0.141786930850859
"146","1999_12_KC_OAK",55,"LV","KC",71,1999,"REG",37,0.0409182483943874,-0.00875096830323809,-0.0696037966147988,-0.15516087519915
"147","1999_12_MIA_DAL",57,"DAL","MIA",20,1999,"REG",38,-0.0167078154131911,-0.124326538966527,-0.103409599510719,-0.119362696357513
"148","1999_12_NE_BUF",40,"BUF","NE",24,1999,"REG",38,-0.0200859727965251,-0.118039304503421,-0.164175830394738,-0.0991727880793192
"149","1999_12_NYJ_IND",70,"IND","NYJ",19,1999,"REG",44,0.0532506536760625,-0.0361453822069057,-0.0346917887928632,-0.0435381647914199
"150","1999_12_PHI_WAS",52,"WAS","PHI",37,1999,"REG",42.5,0.0763603862294098,-0.196024497010181,-0.0021484395923787,-0.118400876980923
"151","1999_12_SD_MIN",70,"MIN","LAC",62,1999,"REG",43.5,0.0101292350753879,-0.151411790688339,-0.0179583103388012,-0.0476406207813872
"152","1999_12_TB_SEA",70,"SEA","TB",19,1999,"REG",37,-0.088355051425911,-0.153246261216447,-0.0750516760766315,-0.160538956522843
"153","1999_12_TEN_CLE",38,"CLE","TEN",54,1999,"REG",35.5,-0.128421866084313,0.0089118740477988,0.0958401521270922,-0.0391387146349858
"154","1999_13_CLE_SD",68,"LAC","CLE",33,1999,"REG",36,-0.151411790688339,-0.128421866084313,-0.0476406207813872,0.0958401521270922
"155","1999_13_DAL_NE",47,"NE","DAL",19,1999,"REG",38,-0.118039304503421,-0.0167078154131911,-0.0991727880793192,-0.103409599510719
